POST	/api/contracts/{id}/performance-milestones/extract	ContractController.java
POST	/api/contracts/{id}/reject	ContractController.java
GET	/api/contracts/{id}/related	ContractController.java
POST	/api/contracts/{id}/renewal/complete	ContractController.java
POST	/api/contracts/{id}/renewal/decline	ContractController.java
POST	/api/contracts/{id}/renewal/start	ContractController.java
POST	/api/contracts/{id}/sign	ContractController.java
GET	/api/contracts/{id}/snapshots	ContractController.java
POST	/api/contracts/{id}/snapshots/compare	ContractController.java
GET	/api/contracts/{id}/snapshots/{snapshotId}	ContractController.java
POST	/api/contracts/{id}/submit	ContractController.java
POST	/api/contracts/{id}/terminate	ContractController.java
POST	/api/contracts/{id}/withdraw	ContractController.java
GET	/api/contracts/{id}/word	ContractController.java
GET	/api/external/contracts	ExternalContractController.java
POST	/api/external/contracts	ExternalContractController.java
POST	/api/external/contracts/batch	ExternalContractController.java
GET	/api/external/contracts/health	ExternalContractController.java
GET	/api/external/contracts/next-number	ExternalContractController.java
DELETE	/api/external/contracts/{id}	ExternalContractController.java
GET	/api/external/contracts/{id}	ExternalContractController.java
PUT	/api/external/contracts/{id}	ExternalContractController.java
GET	/api/favorites	FavoriteController.java
GET	/api/favorites/check/{contractId}	FavoriteController.java
DELETE	/api/favorites/{contractId}	FavoriteController.java
POST	/api/favorites/{contractId}	FavoriteController.java
GET	/api/logs	OperationLogController.java
GET	/api/logs/modules	OperationLogController.java
GET	/api/logs/{id}	OperationLogController.java
DELETE	/api/notifications/my	NotificationController.java
GET	/api/notifications/my	NotificationController.java
PUT	/api/notifications/read-all	NotificationController.java
DELETE	/api/notifications/{id}	NotificationController.java
PUT	/api/notifications/{id}/important	NotificationController.java
PUT	/api/notifications/{id}/read	NotificationController.java
GET	/api/permissions	PermissionController.java
POST	/api/permissions	PermissionController.java
GET	/api/permissions/active	PermissionController.java
DELETE	/api/permissions/{id}	PermissionController.java
GET	/api/permissions/{id}	PermissionController.java
PUT	/api/permissions/{id}	PermissionController.java
GET	/api/quick-codes	QuickCodeController.java
POST	/api/quick-codes	QuickCodeController.java
GET	/api/quick-codes/all	QuickCodeController.java
GET	/api/quick-codes/code/{code}	QuickCodeController.java
DELETE	/api/quick-codes/items/{itemId}	QuickCodeController.java
PUT	/api/quick-codes/items/{itemId}	QuickCodeController.java
DELETE	/api/quick-codes/{id}	QuickCodeController.java
GET	/api/quick-codes/{id}	QuickCodeController.java
PUT	/api/quick-codes/{id}	QuickCodeController.java
GET	/api/quick-codes/{id}/impact	QuickCodeController.java
POST	/api/quick-codes/{id}/items	QuickCodeController.java
PUT	/api/quick-codes/{id}/toggle	QuickCodeController.java
GET	/api/reminder-rules	ReminderRuleController.java
POST	/api/reminder-rules	ReminderRuleController.java
GET	/api/reminder-rules/my	ReminderRuleController.java
DELETE	/api/reminder-rules/{id}	ReminderRuleController.java
